name,functional_group,Label
Cyphastrea,hard_coral,Cypha
Cyphastrea_agassizi,hard_coral,CYAG
Cyphastrea_microphthalma,hard_coral,CyMic
Cyphastrea_ocellina,hard_coral,COcell
Cyphastrea_ocellina_algal_overgrowth,hard_coral,Cypoc AO
Cyphastrea_ocellina_bleached,hard_coral,Cypoc BL
Cyphastrea_ocellina_tissue_loss,hard_coral,Cypoc TL
Cyphastrea_ocellina_trematodiasis,hard_coral,Cypoc TR
Cyphastrea_serailia,hard_coral,CySer
Cyphastrea_spp.,hard_coral,Cyp_spp
Cyphastrea_Sub-Massive,hard_coral,CypSM
Danafungia,hard_coral,Dana
Dcylindrus,hard_coral,DCYL
Dead_Acropora_Arborescent,hard_coral,AcArb-D
Dead_Acropora_Plating,hard_coral,AcPlat-D
Dead_Acr_other,hard_coral,AcrOther-D
Dead_fungia,hard_coral,Fung-D
Dead_Massive_Coral,hard_coral,DMS
Dead_Pocillopora,hard_coral,Poc-D
Dead_Porites_massive,hard_coral,PorMass-D
Dead_Porites_submassive,hard_coral,PorSubm-D
Dendrogyra_cylindrus,hard_coral,DEC
Dendrophyllia_gracilis,hard_coral,DeGra
Dichocoenia_stellaris,hard_coral,CIS
Dichocoenia_stokesi,hard_coral,CIST
Diploastrea,hard_coral,Dipl
Diploastrea_heliopora,hard_coral,Dip_hel
Diploria_clivosa,hard_coral,DC
Diploria_labyrinthiformis,hard_coral,DL
Diploria_stigosa,hard_coral,DS
Diploria_strigosa,hard_coral,DIS
Dipsastraea_favus,hard_coral,Dfavus
Dipsastraea_pallida,hard_coral,Dpall
Dipsastraea_speciosa,hard_coral,Dspec
Dipsastraea_spp.,hard_coral,Dip_spp
Dipsastrea,hard_coral,Dips
Diseased_Coral,hard_coral,DISCORAL
Distichopora,hard_coral,Distcho
Distochopora,hard_coral,DIST
Dlabyrinthiformis,hard_coral,DLAB
Dstokesi,hard_coral,DSTO
Echinophyllia,hard_coral,ECHIN
Echinophyllia_aspera,hard_coral,EcAsp
Echinopora,hard_coral,Ech
Encrusting_gorgonians,hard_coral,ENGR
Encrusting_Hard_Coral,hard_coral,ENHr
Encrusting_Montipora,hard_coral,ENmont
Erythrastrea,hard_coral,Eryth
Euphyllia,hard_coral,Euph
Eusmilia_fastigiata,hard_coral,EFAS
Family_Agariciidae,hard_coral,Lettuce
Favia,hard_coral,Favia
Favia_Encrusting,hard_coral,FavEnc
Favia_favus,hard_coral,FaFav
Favia_fragum,hard_coral,FAF
Favia_matthai,hard_coral,FaviaM
Favia_pallida,hard_coral,FaPall
Favia_speciosa,hard_coral,FaviaS
Favia_stelligera,hard_coral,FaviaSt
Favia_Sub-massive,hard_coral,FavSM
Favidae-Mussidae_massive/meandroid,hard_coral,FAV-MUS
Favidae-Mussidae_massive/meandroid_Bleached,hard_coral,FAV-MUS-B*
Faviidae,hard_coral,Faviidae
Faviidae_Siderastreidae,hard_coral,FAV_SID
Faviid_-_Unidentified,hard_coral,FAV-U
Favites,hard_coral,Fav
Favites_abdita,hard_coral,FavAbd
Favites_acuticollis,hard_coral,FavAcu
Favites_flexuosa,hard_coral,Fav_fle
Favites_halicora,hard_coral,FavHal
Favites_pentagona,hard_coral,FavPent
Favites_russelli,hard_coral,Fav_rus
Favites_sp.,hard_coral,Fav_spe
Favites_Sub-massive,hard_coral,FaviSM
Ffragum,hard_coral,FFRA
"Fine_branching_non-Acroporids,_Seriatopora,",hard_coral,BRA_FIN_Se
Focal_Coral_Colony,hard_coral,FCC
Foliose_Hard_Coral,hard_coral,FHC
Fungia,hard_coral,Fung
Fungia_Bleached,hard_coral,FREE_BLC
Fungia_scutaria,hard_coral,FSCU
Fungia_scutaria_algal_overgrowth,hard_coral,Funscu AO
Fungia_scutaria_bleached,hard_coral,Funscu BL
Fungia_scutaria_tissue_loss,hard_coral,Funscu TL
Fungia_scutaria_trematodiasis,hard_coral,Funscu TR
Fungiidae,hard_coral,FUNGIID
Galaxea,hard_coral,GAL
Galaxea_fascicularis,hard_coral,Gal_fas
Gardineroseris,hard_coral,Gardin
Gardineroseris_planulata,hard_coral,GPLA
Goniastrea,hard_coral,Gon
Goniastrea_edwardsi_retiformis,hard_coral,Gon_e_r
Goniastrea_stelligera,hard_coral,Gon_ste
Goniopora,hard_coral,Gonio
Goniopora_lobata,hard_coral,GoLob
Gustavia,hard_coral,GUS
Gyrosmilia,hard_coral,Gyr
Halomitra,hard_coral,Hal
Hard_coral,hard_coral,Hard
Hard_coral_bleached,hard_coral,HC bleach
Hard_coral_broken,hard_coral,HC_broke
Hard_Coral_Coverage,hard_coral,HC_Sclerac
Hard_coral:foliose_broken,hard_coral,HC_F_broke
Hard_Coral:_Hispidose,hard_coral,HISP
Hard_Coral:_Tabulate:_Dissected,hard_coral,CTAB_D
Hard_Coral:_Tabulate:_Fused,hard_coral,CTAB_F
HC_dead,hard_coral,HC
Hcucullata,hard_coral,HCUC
Heliopora_coerulea,hard_coral,Hel_coe
Helioseris_cucullata,hard_coral,HCucu
Herpolitha,hard_coral,Herpo
Herpolitha_limax,hard_coral,Her_lim
Heterocyathus_aequicostatus,hard_coral,HeAeq
Heteropsammia_cochlea,hard_coral,HeCoch
Hydnophora,hard_coral,HYDNO
Hydnophora_exesa,hard_coral,HyExe
Hydnophora_microconos,hard_coral,Hyd_mic
Hydnophora_pilosa,hard_coral,HyPil
Isophyllia,hard_coral,ISOPH
Isophyllia_rigida,hard_coral,ISORIG
Isophyllia_sinuosa,hard_coral,ISOSIN
Isopora,hard_coral,Isop
Isopora_Columnar,hard_coral,IsoCol
Isopora_Encrusting,hard_coral,IsoEnc
Isopora_Sub-Massive,hard_coral,IsoSM
"Leaf,_Blade_Coral",hard_coral,Corleaf
Leptastrea,hard_coral,Lepta
Leptastrea_bewickensis,hard_coral,LEBEW
Leptastrea_bottae,hard_coral,Lbott
